City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Cape Canaveral,US,89.6,few clouds,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
423,Camacha,PT,75.2,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
424,Manoel Urbano,BR,82.15,clear sky,-8.84,-69.26,Baixada Beira Rio
426,Salinas,US,75.2,haze,36.68,-121.66,Good Nite Inn Salinas Monterey
428,Shasta Lake,US,91.0,haze,40.68,-122.37,Shasta Dam Motel
430,Najran,SA,91.4,clear sky,17.49,44.13,محمد هادي ال فطيح
433,Belmonte,BR,73.4,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
434,Saint-Philippe,RE,71.6,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
435,Rosarito,MX,89.6,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
438,Natal,BR,80.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
439,Sao Filipe,CV,79.36,scattered clouds,14.9,-24.5,Tortuga B&B
442,San Patricio,MX,89.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
444,San Benito,GT,94.69,scattered clouds,16.91,-89.91,Quinta Maya Hotel
448,Barela,IN,73.15,broken clouds,23.1,80.05,GRKIST Boys Hostel
456,Sinnamary,GF,83.89,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
457,Puerto Escondido,MX,86.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
459,Sambava,MG,70.56,clear sky,-14.27,50.17,Melrose
463,Mayo,US,84.0,overcast clouds,38.89,-76.51,Resorts Resource Group International
465,Hamilton,US,82.99,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
468,Ugoofaaru,MV,83.8,clear sky,5.67,73.0,Ungoofaaru Inn
471,Itoman,JP,77.0,light rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
472,Pucallpa,PE,71.6,broken clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
474,Shakawe,BW,70.56,broken clouds,-18.37,21.85,Ditlhapi Guest House
475,Lock Haven,US,91.99,few clouds,41.14,-77.45,Fairfield Inn & Suites by Marriott Lock Haven
476,Alamosa,US,84.2,clear sky,37.47,-105.87,Best Western Alamosa Inn
478,Abonnema,NG,77.22,broken clouds,4.71,6.79,Corper's Lodge Obonoma
479,Agadir,MA,86.0,scattered clouds,30.42,-9.6,Iberostar Founty Beach
480,Camapua,BR,72.01,broken clouds,-19.53,-54.04,Comercial Estrela
482,Puerto Cabezas,NI,86.0,haze,14.04,-83.39,Hotel Caribe
485,Kavieng,PG,81.19,light rain,-2.57,150.8,Nusa Island Retreat
