City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Moussoro,TD,13.64,16.49,83.28,68,100,8.66,overcast clouds
212,Mitsamiouli,KM,-11.38,43.28,77.0,78,20,4.25,few clouds
213,Baruun-Urt,MN,46.68,113.28,53.37,96,17,6.58,few clouds
214,Kahului,US,20.89,-156.47,80.6,78,40,11.41,light rain
215,Port Hedland,AU,-20.32,118.57,60.8,44,0,8.05,clear sky
216,Benguela,AO,-12.58,13.41,68.29,86,3,0.45,clear sky
217,Bow Island,CA,49.87,-111.37,86.0,16,20,27.51,few clouds
218,Praxedis Guerrero,MX,31.37,-106.02,97.0,23,5,9.78,clear sky
219,Port Hardy,CA,50.7,-127.42,57.2,87,90,6.93,light rain
220,Huacho,PE,-11.11,-77.61,66.25,67,8,10.25,clear sky
221,Mortka,RU,59.33,66.02,50.74,97,83,6.06,broken clouds
222,Nuevitas,CU,21.55,-77.26,91.4,59,40,3.36,scattered clouds
223,Manggar,ID,-2.88,108.27,81.12,82,64,11.72,broken clouds
224,Karratha,AU,-20.74,116.85,69.06,49,0,7.85,clear sky
225,Iqaluit,CA,63.75,-68.51,48.2,70,20,8.05,few clouds
226,Beringovskiy,RU,63.05,179.32,52.0,90,59,10.54,broken clouds
227,Saldanha,ZA,-33.01,17.94,55.4,82,0,4.7,clear sky
228,Hualmay,PE,-11.1,-77.61,66.33,66,8,10.22,clear sky
229,Kaduna,NG,10.52,7.44,72.64,86,0,4.47,clear sky
230,Mount Isa,AU,-20.73,139.5,57.2,45,0,14.99,clear sky
231,Grand Gaube,MU,-20.01,57.66,69.01,78,50,3.0,scattered clouds
232,Nuuk,GL,64.18,-51.72,44.6,87,75,9.17,broken clouds
233,Nukus,UZ,42.45,59.61,84.2,21,100,4.7,overcast clouds
234,Umm Kaddadah,SD,13.6,26.69,92.34,38,86,11.32,overcast clouds
235,Lompoc,US,34.64,-120.46,84.99,54,1,11.41,clear sky
236,Boguchany,RU,58.38,97.45,58.86,93,100,3.8,moderate rain
237,Nabire,ID,-3.37,135.48,73.45,92,47,3.87,moderate rain
238,Mahebourg,MU,-20.41,57.7,69.8,83,40,11.41,scattered clouds
239,Dali,CN,25.7,100.18,61.9,86,5,3.44,clear sky
240,Wanning,CN,18.8,110.4,79.66,85,1,3.47,clear sky
241,Kosh-Agach,RU,50.0,88.67,42.4,72,10,2.53,clear sky
242,Ipixuna,BR,-1.76,-48.8,87.8,70,75,9.17,broken clouds
243,Kununurra,AU,-15.77,128.73,66.2,24,0,8.25,clear sky
244,Kondinskoye,RU,59.65,67.41,51.73,89,79,6.38,broken clouds
245,Ust-Kuyga,RU,70.02,135.6,39.36,93,100,0.67,light rain
246,Torbay,CA,47.67,-52.73,70.0,52,40,8.05,scattered clouds
247,Vila Velha,BR,-20.33,-40.29,64.4,93,90,16.11,light rain
248,Gisors,FR,49.28,1.78,69.8,52,100,8.05,overcast clouds
249,Souillac,MU,-20.52,57.52,69.8,83,40,11.41,scattered clouds
250,Omsukchan,RU,62.53,155.8,33.69,92,100,5.73,overcast clouds
251,Dunedin,NZ,-45.87,170.5,48.0,92,36,5.01,scattered clouds
252,Tucuman,AR,-26.82,-65.22,69.8,22,0,8.05,smoke
253,Lagoa,PT,39.05,-27.98,72.68,74,10,7.74,clear sky
254,Zvishavane,ZW,-20.33,30.07,56.59,62,0,7.81,clear sky
255,Broken Hill,AU,-31.95,141.43,41.0,80,2,9.17,clear sky
256,Vila Franca Do Campo,PT,37.72,-25.43,77.0,78,20,5.82,few clouds
257,Port Maria,JM,18.37,-76.89,89.01,75,7,5.99,clear sky
258,Andenes,NO,69.31,16.12,57.2,93,100,5.82,overcast clouds
259,Chuy,UY,-33.7,-53.46,57.49,49,0,5.39,clear sky
260,Ishigaki,JP,24.34,124.16,84.15,80,100,25.68,moderate rain
261,Porto De Moz,BR,-1.75,-52.24,93.25,42,100,0.92,overcast clouds
262,Cordoba,AR,-31.41,-64.18,69.01,13,0,24.16,clear sky
263,Labuhan,ID,-6.88,112.21,77.14,81,0,7.43,clear sky
264,Acari,PE,-15.43,-74.62,74.34,43,0,8.97,clear sky
265,Talara,PE,-4.58,-81.27,75.2,60,100,12.75,overcast clouds
266,Kermanshah,IR,34.31,47.06,75.2,13,0,4.7,clear sky
267,Padang,ID,-0.95,100.35,78.31,79,100,4.47,moderate rain
268,Sabang,ID,5.89,95.32,82.02,77,25,10.71,scattered clouds
269,Quelimane,MZ,-17.88,36.89,71.6,73,20,3.36,few clouds
270,Nenjiang,CN,49.18,125.22,59.58,70,100,7.7,overcast clouds
271,Yeppoon,AU,-23.13,150.73,60.8,51,0,12.75,clear sky
272,Skiathos,GR,39.16,23.49,82.4,65,0,4.47,clear sky
273,Opuwo,NA,-18.06,13.84,59.7,33,2,4.36,clear sky
274,Tawang,IN,27.58,91.87,54.54,74,94,3.09,overcast clouds
275,Muros,ES,42.78,-9.06,69.01,78,0,3.0,clear sky
276,Orocue,CO,4.79,-71.34,77.76,88,100,3.58,moderate rain
277,Kuala Selangor,MY,3.35,101.25,80.6,88,20,4.0,few clouds
278,Wasilla,US,61.58,-149.44,64.0,77,90,4.7,overcast clouds
279,Cooma,AU,-36.23,149.13,33.8,69,20,18.34,few clouds
280,Rovaniemi,FI,66.5,25.72,62.6,88,90,16.11,light intensity shower rain
281,Faanui,PF,-16.48,-151.75,76.86,80,11,25.5,light rain
282,Shelburne,CA,44.08,-80.2,82.4,51,20,12.75,few clouds
283,Namwala,ZM,-15.75,26.44,68.58,44,0,9.57,clear sky
284,Rudnogorsk,RU,57.26,103.75,59.31,65,100,2.24,overcast clouds
285,Gat,IL,31.61,34.76,82.0,39,0,0.72,clear sky
